id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20220321_t1619399_x1384490E_y056225N_l0002_s2208_v23,2022-04-14 03:29:32,5.622525,138.449005,5.66287,2022-03-21 16:19:39,2022-03-22 02:19:39,2,2208,0.298424,2,2209,0.261159,0.217112,0.640477,0.4,0.672898,0.75,0.074031,0.0001,0.016632,999999,1.540853e-01,3,Micronesian Exclusive Economic Zone,,,SVDNB_npp_d20220321_t1619396_e1621038_b53874_c20220321174226536038_oeac_ops.h5,GDNBO_npp_d20220321_t1619396_e1621038_b53874_c20220321174059672181_oeac_ops.h5,SVI04_npp_d20220321_t1619396_e1621038_b53874_c20220321174230361097_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1619396_e1621038_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,7.770740;5.814340;3.548563;-1.328071;0.798164;2.883686,123.499451;137.275391;150.848526;149.723709;136.158508;122.482262,npp_d20220321_t1615234_e1616476_b53874;npp_d20220321_t1616488_e1618130_b53874;npp_d20220321_t1618142_e1619384_b53874;npp_d20220321_t1619396_e1621038_b53874,157.618,75.0591,10.091,-82.996,29.0677,137.431
1,VBD_npp_d20220321_t1622201_x1243488E_y019576S_l0688_s0422_v23,2022-04-14 03:34:30,-1.957567,124.348839,10.8183,2022-03-21 16:22:20,2022-03-22 01:22:20,688,422,0.241164,1,2529,0.316208,0.146159,0.610317,0.4,0.75146,0.75,0.0671608,0.0001,9.36441e-16,999999,-6.342637e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1621050_e1622292_b53874_c20220321174235784445_oeac_ops.h5,GDNBO_npp_d20220321_t1621050_e1622292_b53874_c20220321174109160236_oeac_ops.h5,SVI04_npp_d20220321_t1621050_e1622292_b53874_c20220321174239655782_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1621050_e1622292_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,2.885954;0.792763;-1.326101;-6.214364;-4.222641;-1.986109,122.475700;136.150543;149.718033;148.693054;135.034622;121.349922,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,171.704,100.658,62.938,98.9886,35.8281,114.257
2,VBD_npp_d20220321_t1622218_x1243491E_y019629S_l0690_s0423_v23,2022-04-14 03:34:30,-1.962860,124.349098,9.21438,2022-03-21 16:22:21,2022-03-22 01:22:21,690,423,0.229071,2,2465,0.252093,0.142453,0.613477,0.4,0.649158,0.75,0.067168,0.0001,9.36298e-16,999999,-2.462429e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1621050_e1622292_b53874_c20220321174235784445_oeac_ops.h5,GDNBO_npp_d20220321_t1621050_e1622292_b53874_c20220321174109160236_oeac_ops.h5,SVI04_npp_d20220321_t1621050_e1622292_b53874_c20220321174239655782_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1621050_e1622292_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,2.885954;0.792763;-1.326101;-6.214364;-4.222641;-1.986109,122.475700;136.150543;149.718033;148.693054;135.034622;121.349922,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,171.695,100.684,62.913,99.5223,35.8191,114.255
3,VBD_npp_d20220321_t1621231_x1282495E_y008424N_l0176_s0884_v23,2022-04-14 03:34:30,0.842353,128.249496,11.5187,2022-03-21 16:21:23,2022-03-22 01:21:23,176,884,0.181058,10,2177,0.172289,0.162787,0.319967,0.4,0.439044,0.75,0.0694642,0.0001,1.62086e-10,999999,-2.375036e-01,3,,WPP715,,SVDNB_npp_d20220321_t1621050_e1622292_b53874_c20220321174235784445_oeac_ops.h5,GDNBO_npp_d20220321_t1621050_e1622292_b53874_c20220321174109160236_oeac_ops.h5,SVI04_npp_d20220321_t1621050_e1622292_b53874_c20220321174239655782_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1621050_e1622292_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,2.885954;0.792763;-1.326101;-6.214364;-4.222641;-1.986109,122.475700;136.150543;149.718033;148.693054;135.034622;121.349922,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,168.119,84.0021,51.8764,98.2916,33.8159,120.346
1,VBD_npp_d20220321_t1623241_x1206434E_y050634S_l0486_s0011_v23,2022-04-14 03:34:30,-5.063413,120.643433,68.4518,2022-03-21 16:23:24,2022-03-22 00:23:24,486,11,0.218117,1,2529,0.841266,0.124415,0.785658,0.4,0.799156,0.75,0.0650946,0.0001,1.70438e-21,999999,1.642028e-01,3,Indonesian Exclusive Economic Zone,WPP713,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,173.38,134.532,70.0945,100.369,37.9235,108.815
2,VBD_npp_d20220321_t1623277_x1214018E_y053778S_l0513_s0128_v23,2022-04-14 03:34:30,-5.377823,121.401787,6.1373,2022-03-21 16:23:27,2022-03-22 00:23:27,513,128,0.318341,10,2177,0.154572,0.150383,0.375076,0.4,0.659592,0.75,0.0660073,0.0001,1.18177e-19,999999,-1.076426e-01,3,Indonesian Exclusive Economic Zone,WPP713,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.604,132.028,68.2472,100.503,37.0823,108.678
3,VBD_npp_d20220321_t1622521_x1223042E_y034668S_l0200_s0186_v23,2022-04-14 03:34:30,-3.466838,122.304192,9.03275,2022-03-21 16:22:52,2022-03-22 00:22:52,200,186,0.266913,10,2433,0.196071,0.146393,0.387635,0.4,0.623149,0.75,0.0659853,0.0001,6.46389e-19,999999,-6.587911e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,173.054,115.986,67.2741,99.7624,37.0245,111.397
4,VBD_npp_d20220321_t1622521_x1224355E_y035173S_l0204_s0206_v23,2022-04-14 03:34:30,-3.517304,122.435486,10.7216,2022-03-21 16:22:52,2022-03-22 00:22:52,204,206,0.2428,2,2465,0.303671,0.138894,0.554129,0.4,0.712836,0.75,0.0661387,0.0001,1.28539e-18,999999,1.262893e-02,3,Indonesian Exclusive Economic Zone,WPP714,Teluk Lasolo-Teluk Dalam Marine Nature Recreational Park,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.914,115.881,66.9348,99.6313,36.8821,111.39
5,VBD_npp_d20220321_t1623152_x1221230E_y047736S_l0402_s0207_v23,2022-04-14 03:34:30,-4.773585,122.123016,17.4709,2022-03-21 16:23:15,2022-03-22 00:23:15,402,207,0.270754,1,2529,0.473475,0.133011,0.766006,0.4,0.828245,0.75,0.0663432,0.0001,1.59555e-18,999999,7.421566e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.46,125.19,66.9211,100.25,36.6432,109.695
6,VBD_npp_d20220321_t1623241_x1221619E_y053174S_l0483_s0232_v23,2022-04-14 03:34:30,-5.317363,122.161934,10.9686,2022-03-21 16:23:24,2022-03-22 00:23:24,483,232,0.205171,10,2177,0.168405,0.133846,0.293879,0.4,0.576898,0.75,0.0667727,0.0001,3.90085e-18,999999,6.547259e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.074,128.064,66.4941,100.335,36.3894,109.015
7,VBD_npp_d20220321_t1622592_x1226194E_y039890S_l0270_s0248_v23,2022-04-14 03:34:30,-3.988961,122.619392,26.5613,2022-03-21 16:22:59,2022-03-22 00:22:59,270,248,0.297713,1,2529,0.460558,0.132286,0.636187,0.4,0.797734,0.75,0.0665085,0.0001,5.62163e-18,999999,8.180125e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.509,118.389,66.2034,99.6366,36.5091,110.879
8,VBD_npp_d20220321_t1623010_x1227264E_y040283S_l0274_s0265_v23,2022-04-14 03:34:30,-4.028321,122.726410,8.40034,2022-03-21 16:23:01,2022-03-22 00:23:01,274,265,0.284625,2,2465,0.182571,0.150479,0.478052,0.4,0.59825,0.75,0.0666384,0.0001,9.66951e-18,999999,-1.086471e-01,3,Indonesian Exclusive Economic Zone,WPP714,KKPD South Sulawesi Regional Aquatic Conservation Area,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.39,118.233,65.897,100.042,36.387,110.876
9,VBD_npp_d20220321_t1623010_x1227694E_y040995S_l0283_s0273_v23,2022-04-14 03:34:30,-4.099452,122.769356,9.8988,2022-03-21 16:23:01,2022-03-22 00:23:01,283,273,0.26798,2,2465,0.303759,0.173715,0.540747,0.4,0.728623,0.75,0.0667058,0.0001,1.28476e-17,999999,-3.518962e-01,3,Indonesian Exclusive Economic Zone,WPP714,KKPD South Sulawesi Regional Aquatic Conservation Area,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.318,118.545,65.7561,99.7462,36.3208,110.802
10,VBD_npp_d20220321_t1622592_x1228210E_y040377S_l0272_s0278_v23,2022-04-14 03:34:30,-4.037689,122.821037,9.91152,2022-03-21 16:22:59,2022-03-22 00:22:59,272,278,0.308809,2,2465,0.334832,0.130114,0.682895,0.4,0.742181,0.75,0.0667332,0.0001,1.49768e-17,999999,1.045429e-01,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.309,117.984,65.6711,99.5563,36.3009,110.901
11,VBD_npp_d20220321_t1623010_x1228218E_y040382S_l0273_s0279_v23,2022-04-14 03:34:30,-4.038221,122.821815,12.1059,2022-03-21 16:23:01,2022-03-22 00:23:01,273,279,0.308809,1,2529,0.384175,0.132162,0.718081,0.4,0.80094,0.75,0.0667415,0.0001,1.509e-17,999999,8.310944e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.301,117.958,65.6493,100.068,36.2933,110.904
12,VBD_npp_d20220321_t1623010_x1228261E_y040531S_l0275_s0280_v23,2022-04-14 03:34:30,-4.053056,122.826103,11.7056,2022-03-21 16:23:01,2022-03-22 00:23:01,275,280,0.306604,1,2529,0.366307,0.134841,0.715173,0.4,0.755975,0.75,0.0667507,0.0001,1.56711e-17,999999,5.506059e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.29,118.04,65.6317,100.003,36.2839,110.887
13,VBD_npp_d20220321_t1622592_x1229169E_y040471S_l0271_s0292_v23,2022-04-14 03:34:30,-4.047075,122.916916,30.6563,2022-03-21 16:22:59,2022-03-22 00:22:59,271,292,0.303688,1,2529,0.735003,0.131092,0.797048,0.4,0.912268,0.75,0.0668363,0.0001,2.33435e-17,999999,9.430325e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,172.22,117.709,65.4201,99.5815,36.2069,110.93
14,VBD_npp_d20220321_t1623241_x1344509E_y073986S_l0483_s2052_v23,2022-04-14 03:34:30,-7.398648,134.450851,8.54034,2022-03-21 16:23:24,2022-03-22 01:23:24,483,2052,0.349425,1,2529,0.353996,0.270155,0.646543,0.4,0.765892,0.75,0.0781964,0.0001,0.0155591,999999,-2.829390e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,160.253,109.903,1.08067,-95.9874,24.023,111.707
15,VBD_npp_d20220321_t1623134_x1352728E_y069253S_l0394_s2155_v23,2022-04-14 03:34:30,-6.925345,135.272751,10.4394,2022-03-21 16:23:13,2022-03-22 01:23:13,394,2155,0.274026,2,2465,0.325593,0.25926,0.5724,0.4,0.678465,0.75,0.0784981,0.0001,0.0250678,999999,-2.123828e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220321_t1622305_e1623546_b53874_c20220321174246300348_oeac_ops.h5,GDNBO_npp_d20220321_t1622305_e1623546_b53874_c20220321174111958668_oeac_ops.h5,SVI04_npp_d20220321_t1622305_e1623546_b53874_c20220321174249495680_oeac_ops.dspace_rad,VNFF_npp_d20220321_t1622305_e1623546_b53874_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.983322;-4.227961;-6.212607;-11.111977;-9.240816;-6.833793,121.343666;135.026718;148.687485;147.759445;133.900879;120.104164,npp_d20220321_t1621050_e1622292_b53874;npp_d20220321_t1622305_e1623546_b53874;npp_d20220321_t1623559_e1625200_b53874;npp_d20220321_t1625213_e1626454_b53874,159.677,107.894,7.0135,-80.2197,23.4812,113.306
