id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20221107_t1549218_x1396352E_y039737N_l0408_s1291_v23,2023-03-22 22:21:27,3.973711,139.635162,8.27638,2022-11-07 15:49:21,2022-11-08 01:49:21,408,1291,0.416003,10,2177,0.192105,0.150506,0.302862,0.4,0.478604,0.75,0.17736,0.0001,0.0491362,999999,6.171473e-01,3,,,,SVDNB_npp_d20221107_t1548371_e1550012_b57151_c20221107170904629951_oebc_ops.h5,GDNBO_npp_d20221107_t1548371_e1550012_b57151_c20221107170733186433_oebc_ops.h5,SVI04_npp_d20221107_t1548371_e1550012_b57151_c20221107170907966037_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1548371_e1550012_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,7.829907;5.869770;3.595087;-1.276887;0.853771;2.939816,131.418640;145.188568;158.768936;157.634552;144.068649;130.392380,npp_d20221107_t1544208_e1545450_b57151;npp_d20221107_t1545462_e1547104_b57151;npp_d20221107_t1547117_e1548358_b57151;npp_d20221107_t1548371_e1550012_b57151,155.88,122.501,38.195,98.4541,31.5416,-71.6995
1,VBD_npp_d20221107_t1552180_x1342703E_y057876S_l0451_s0839_v23,2023-03-22 22:14:40,-5.787632,134.270309,27.1767,2022-11-07 15:52:18,2022-11-08 00:52:18,451,839,0.371831,2,2465,0.636966,0.247231,0.756447,0.4,0.675713,0.75,0.176415,0.0001,0.013943,999999,-1.393808e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,152.503,144.024,53.1323,99.9726,31.8947,-53.6543
2,VBD_npp_d20221107_t1552340_x1351212E_y069464S_l0601_s1002_v23,2023-03-22 22:14:40,-6.946412,135.121155,62.1576,2022-11-07 15:52:34,2022-11-08 00:52:34,601,1002,0.395589,1,2529,0.876331,0.278854,0.731992,0.4,0.923688,0.75,0.172835,0.0001,0.0190736,999999,-1.897207e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.029,143.82,48.4103,99.6935,33.3367,-53.1367
3,VBD_npp_d20221107_t1552393_x1350882E_y073133S_l0656_s1010_v23,2023-03-22 22:14:40,-7.313267,135.088181,27.8508,2022-11-07 15:52:39,2022-11-08 00:52:39,656,1010,0.332425,1,2529,0.596327,0.298787,0.639275,0.4,0.778438,0.75,0.172342,0.0001,0.0183375,999999,-1.251685e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,150.738,144.224,48.171,99.3377,33.552,-52.6724
4,VBD_npp_d20221107_t1552411_x1350879E_y073152S_l0657_s1011_v23,2023-03-22 22:14:40,-7.315164,135.087891,25.1709,2022-11-07 15:52:41,2022-11-08 00:52:41,657,1011,0.3384,1,2529,0.540867,0.286514,0.648604,0.4,0.805172,0.75,0.17232,0.0001,0.0195527,999999,-5.978026e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,150.733,144.215,48.1362,100.204,33.5588,-52.6772
5,VBD_npp_d20221107_t1552393_x1352420E_y072484S_l0643_s1030_v23,2023-03-22 22:14:40,-7.248403,135.241989,30.4587,2022-11-07 15:52:39,2022-11-08 00:52:39,643,1030,0.293445,1,2529,0.529289,0.314379,0.624412,0.4,0.770453,0.75,0.172118,0.0001,0.0203862,999999,-2.082352e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,150.701,143.916,47.5172,100.062,33.6355,-52.9129
6,VBD_npp_d20221107_t1552126_x1361494E_y058058S_l0406_s1109_v23,2023-03-22 22:14:40,-5.805846,136.149384,37.5927,2022-11-07 15:52:12,2022-11-08 00:52:12,406,1109,0.379869,1,2529,0.802559,0.261292,0.838935,0.4,0.910822,0.75,0.172769,0.0001,0.0262582,999999,7.459384e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.365,141.105,44.8852,99.6302,33.4329,-55.5226
7,VBD_npp_d20221107_t1552002_x1364620E_y051379S_l0299_s1131_v23,2023-03-22 22:14:40,-5.137931,136.462036,85.276,2022-11-07 15:52:00,2022-11-08 00:52:00,299,1131,0.387764,1,2529,1.10759,0.266574,0.852988,0.4,0.953659,0.75,0.173163,0.0001,0.0279704,999999,4.645033e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.715,139.927,44.1385,99.2094,33.2744,-56.6335
8,VBD_npp_d20221107_t1552020_x1364538E_y051829S_l0306_s1132_v23,2023-03-22 22:14:40,-5.182858,136.453781,52.2726,2022-11-07 15:52:02,2022-11-08 00:52:02,306,1132,0.390183,1,2529,0.921354,0.270467,0.881506,0.4,0.9298,0.75,0.173106,0.0001,0.0288094,999999,2.571270e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.681,139.982,44.1049,99.7859,33.2986,-56.574
9,VBD_npp_d20221107_t1552002_x1365038E_y051654S_l0302_s1138_v23,2023-03-22 22:14:40,-5.165412,136.503769,18.0985,2022-11-07 15:52:00,2022-11-08 00:52:00,302,1138,0.387551,1,2529,0.502536,0.276077,0.84043,0.4,0.82184,0.75,0.173036,0.0001,0.0279442,999999,-4.177632e-03,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.667,139.897,43.9036,99.0147,33.3249,-56.6371
10,VBD_npp_d20221107_t1551584_x1365634E_y050471S_l0283_s1143_v23,2023-03-22 22:14:40,-5.047070,136.563416,64.0674,2022-11-07 15:51:58,2022-11-08 00:51:58,283,1143,0.388476,1,2529,1.08109,0.23622,0.845191,0.4,0.956584,0.75,0.173068,0.0001,0.0286666,999999,2.081689e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.724,139.677,43.7366,99.1865,33.3033,-56.84
11,VBD_npp_d20221107_t1552002_x1365902E_y050965S_l0290_s1149_v23,2023-03-22 22:14:40,-5.096494,136.590210,56.6966,2022-11-07 15:52:00,2022-11-08 00:52:00,290,1149,0.386057,1,2529,0.976193,0.263961,0.855958,0.4,0.93058,0.75,0.172934,0.0001,0.0297769,999999,6.037325e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.664,139.685,43.5191,99.7821,33.3595,-56.8074
12,VBD_npp_d20221107_t1552002_x1366040E_y050988S_l0290_s1151_v23,2023-03-22 22:14:40,-5.098838,136.603958,48.5595,2022-11-07 15:52:00,2022-11-08 00:52:00,290,1151,0.386057,1,2529,0.859071,0.26942,0.847045,0.4,0.923688,0.75,0.172903,0.0001,0.0298688,999999,3.128737e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.654,139.667,43.4462,99.7813,33.3725,-56.8172
13,VBD_npp_d20221107_t1552091_x1365133E_y057139S_l0383_s1158_v23,2023-03-22 22:14:40,-5.713907,136.513306,74.9788,2022-11-07 15:52:09,2022-11-08 00:52:09,383,1158,0.366283,1,2529,1.01918,0.246854,0.853242,0.4,0.934662,0.75,0.172245,0.0001,0.0277466,999999,1.515129e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.216,140.473,43.1935,98.9878,33.6719,-55.976
14,VBD_npp_d20221107_t1552091_x1365248E_y056878S_l0379_s1159_v23,2023-03-22 22:14:40,-5.687829,136.524780,36.5182,2022-11-07 15:52:09,2022-11-08 00:52:09,379,1159,0.361446,1,2529,0.740477,0.297103,0.860454,0.4,0.892249,0.75,0.172253,0.0001,0.0282516,999999,-1.161954e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.229,140.425,43.1557,99.2511,33.6667,-56.02
15,VBD_npp_d20221107_t1552002_x1366825E_y051332S_l0293_s1163_v23,2023-03-22 22:14:40,-5.133164,136.682510,15.9377,2022-11-07 15:52:00,2022-11-08 00:52:00,293,1163,0.370835,1,2529,0.479296,0.292572,0.888931,0.4,0.798517,0.75,0.172697,0.0001,0.0300596,999999,-9.205555e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.577,139.591,43.0091,99.5781,33.4579,-56.8459
16,VBD_npp_d20221107_t1551584_x1367032E_y050917S_l0286_s1164_v23,2023-03-22 22:14:40,-5.091682,136.703201,23.5687,2022-11-07 15:51:58,2022-11-08 00:51:58,286,1164,0.370835,1,2529,0.605039,0.307646,0.85188,0.4,0.855462,0.75,0.172722,0.0001,0.0292429,999999,-1.723665e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.6,139.522,42.9767,98.9665,33.4463,-56.9123
17,VBD_npp_d20221107_t1552002_x1366938E_y051072S_l0289_s1164_v23,2023-03-22 22:14:40,-5.107162,136.693848,13.2326,2022-11-07 15:52:00,2022-11-08 00:52:00,289,1164,0.37304,2,2465,0.387188,0.295229,0.881691,0.4,0.746406,0.75,0.172705,0.0001,0.0305684,999999,-1.062110e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.589,139.543,42.9731,99.8429,33.4531,-56.8901
18,VBD_npp_d20221107_t1551584_x1367291E_y051029S_l0287_s1168_v23,2023-03-22 22:14:40,-5.102899,136.729126,55.5057,2022-11-07 15:51:58,2022-11-08 00:51:58,287,1168,0.374961,1,2529,0.907488,0.251121,0.898302,0.4,0.92622,0.75,0.172654,0.0001,0.0292968,999999,1.287790e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20221107_t1551279_e1552520_b57151_c20221107170857479385_oebc_ops.h5,GDNBO_npp_d20221107_t1551279_e1552520_b57151_c20221107170727641524_oebc_ops.h5,SVI04_npp_d20221107_t1551279_e1552520_b57151_c20221107170900708131_oebc_ops.dspace_rad,VNFF_npp_d20221107_t1551279_e1552520_b57151_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.924952;-4.171710;-6.161955;-11.061760;-9.184696;-6.776078,129.256287;142.935684;156.597122;155.666763;141.808228;128.015472,npp_d20221107_t1550025_e1551266_b57151;npp_d20221107_t1551279_e1552520_b57151;npp_d20221107_t1552533_e1554174_b57151;npp_d20221107_t1554187_e1555429_b57151,151.575,139.496,42.8317,98.8964,33.4745,-56.9219
