id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20220908_t1614211_x1269222E_y063836N_l0749_s0316_v23,2023-07-08 19:40:10,6.383611,126.922180,19.8104,2022-09-08 16:14:21,2022-09-09 00:14:21,749,316,0.365003,1,2529,0.600307,0.238957,0.746897,0.4,0.894315,0.75,0.0971062,0.0001,8.4263e-05,999999,1.168563e-01,3,Philippines Exclusive Economic Zone,Region XI,,SVDNB_npp_d20220908_t1612590_e1614231_b56300_c20220908173532632093_oebc_ops.h5,GDNBO_npp_d20220908_t1612590_e1614231_b56300_c20220908173348613867_oebc_ops.h5,SVI04_npp_d20220908_t1612590_e1614231_b56300_c20220908173537186582_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1612590_e1614231_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,11.445569;9.578827;7.185500;2.324744;4.563527;6.546433,125.675781;139.594269;153.249435;152.032364;138.466400;124.733421,npp_d20220908_t1610082_e1611323_b56300;npp_d20220908_t1611336_e1612577_b56300;npp_d20220908_t1612590_e1614231_b56300;npp_d20220908_t1614244_e1615485_b56300,163.737,43.177,64.9449,97.487,40.8175,-129.442
1,VBD_npp_d20220908_t1615589_x1279610E_y004725N_l0081_s0647_v23,2023-07-08 19:41:35,0.472479,127.960960,34.0254,2022-09-08 16:15:58,2022-09-09 01:15:58,81,647,0.219753,2,2465,0.465853,0.411042,0.644104,0.4,0.709525,0.75,0.102037,0.0001,0.00139882,999999,-5.162572e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220908_t1615498_e1617139_b56300_c20220908173532516748_oebc_ops.h5,GDNBO_npp_d20220908_t1615498_e1617139_b56300_c20220908173401850388_oebc_ops.h5,SVI04_npp_d20220908_t1615498_e1617139_b56300_c20220908173536144856_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1615498_e1617139_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.669389;-0.462591;-2.548527;-7.440543;-5.477395;-3.197154,123.662476;137.333847;150.918167;149.917984;136.215729;122.507133,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,166.111,64.2631,58.0303,99.0905,38.4671,-122.393
2,VBD_npp_d20220908_t1616434_x1321804E_y029584S_l0491_s1369_v23,2023-07-08 19:41:35,-2.958429,132.180374,9.49917,2022-09-08 16:16:43,2022-09-09 01:16:43,491,1369,0.408321,1,2529,0.446659,0.314327,0.674175,0.4,0.843991,0.75,0.0979443,0.0001,0.0150278,999999,-4.969336e-02,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20220908_t1615498_e1617139_b56300_c20220908173532516748_oebc_ops.h5,GDNBO_npp_d20220908_t1615498_e1617139_b56300_c20220908173401850388_oebc_ops.h5,SVI04_npp_d20220908_t1615498_e1617139_b56300_c20220908173536144856_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1615498_e1617139_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,1.669389;-0.462591;-2.548527;-7.440543;-5.477395;-3.197154,123.662476;137.333847;150.918167;149.917984;136.215729;122.507133,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,162.903,80.8101,35.0011,98.7584,40.6625,-116.112
1,VBD_npp_d20220908_t1618195_x1257205E_y076474S_l0583_s0608_v23,2023-07-08 19:41:35,-7.647401,125.720467,5.20867,2022-09-08 16:18:19,2022-09-09 00:18:19,583,608,0.384066,2,2209,0.220323,0.211281,0.488705,0.4,0.705869,0.75,0.111255,0.0001,0.00415661,999999,2.031008e-01,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,168.974,100.456,58.9715,100.333,33.1001,-113.174
2,VBD_npp_d20220908_t1617528_x1330070E_y072980S_l0345_s1633_v23,2023-07-08 19:41:35,-7.298048,133.006958,18.9294,2022-09-08 16:17:52,2022-09-09 01:17:52,345,1633,0.398434,1,2529,0.632764,0.309721,0.718193,0.4,0.887131,0.75,0.0993641,0.0001,0.0159294,999999,-2.747089e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.959,94.5869,22.5833,99.0206,39.9308,-110.868
3,VBD_npp_d20220908_t1617510_x1330841E_y072160S_l0331_s1641_v23,2023-07-08 19:41:35,-7.216047,133.084106,26.9867,2022-09-08 16:17:51,2022-09-09 01:17:51,331,1641,0.399572,1,2529,0.701258,0.343913,0.760385,0.4,0.897504,0.75,0.0991787,0.0001,0.0156147,999999,-1.924169e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.896,94.3111,22.1625,98.7152,40.0263,-110.941
4,VBD_npp_d20220908_t1617510_x1330921E_y072104S_l0330_s1642_v23,2023-07-08 19:41:35,-7.210409,133.092072,44.1343,2022-09-08 16:17:51,2022-09-09 01:17:51,330,1642,0.396442,1,2529,0.896341,0.32469,0.768304,0.4,0.936205,0.75,0.0991607,0.0001,0.0154809,999999,-9.968375e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.889,94.2911,22.1094,98.8595,40.0358,-110.945
5,VBD_npp_d20220908_t1617528_x1330755E_y072676S_l0339_s1642_v23,2023-07-08 19:41:35,-7.267636,133.075500,28.0447,2022-09-08 16:17:52,2022-09-09 01:17:52,339,1642,0.397438,1,2529,0.738954,0.387171,0.742984,0.4,0.89962,0.75,0.0992233,0.0001,0.0149967,999999,-4.011031e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.893,94.4689,22.1094,99.8868,40.0062,-110.882
6,VBD_npp_d20220908_t1617510_x1331034E_y071845S_l0326_s1643_v23,2023-07-08 19:41:35,-7.184522,133.103363,14.7473,2022-09-08 16:17:51,2022-09-09 01:17:51,326,1643,0.391108,1,2529,0.443511,0.364818,0.764908,0.4,0.79362,0.75,0.0991219,0.0001,0.0150869,999999,-2.932666e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.879,94.2083,22.056,99.4445,40.0558,-110.971
7,VBD_npp_d20220908_t1617528_x1330723E_y073295S_l0348_s1643_v23,2023-07-08 19:41:35,-7.329522,133.072342,33.1019,2022-09-08 16:17:52,2022-09-09 01:17:52,348,1643,0.397794,1,2529,0.60407,0.362287,0.802465,0.4,0.868656,0.75,0.0992748,0.0001,0.0157378,999999,-2.810586e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.891,94.6587,22.0576,98.5676,39.9809,-110.813
8,VBD_npp_d20220908_t1617528_x1330962E_y073126S_l0345_s1646_v23,2023-07-08 19:41:35,-7.312621,133.096207,12.5059,2022-09-08 16:17:52,2022-09-09 01:17:52,345,1646,0.395589,1,2529,0.442526,0.356529,0.793454,0.4,0.796519,0.75,0.0992209,0.0001,0.0153364,999999,-2.532779e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.869,94.5984,21.898,99.0036,40.0094,-110.825
9,VBD_npp_d20220908_t1617546_x1330947E_y073651S_l0353_s1648_v23,2023-07-08 19:41:35,-7.365129,133.094727,26.981,2022-09-08 16:17:54,2022-09-09 01:17:54,353,1648,0.401848,1,2529,0.718558,0.282095,0.837867,0.4,0.854565,0.75,0.0992545,0.0001,0.0146784,999999,1.057994e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.859,94.7559,21.7924,100.198,39.9958,-110.763
10,VBD_npp_d20220908_t1617528_x1331211E_y072890S_l0341_s1649_v23,2023-07-08 19:41:35,-7.289010,133.121124,22.768,2022-09-08 16:17:52,2022-09-09 01:17:52,341,1649,0.400924,1,2529,0.62948,0.384382,0.824507,0.4,0.869989,0.75,0.0991601,0.0001,0.0148564,999999,-3.876473e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.846,94.5174,21.74,99.5944,40.0414,-110.844
11,VBD_npp_d20220908_t1617510_x1331423E_y072462S_l0334_s1650_v23,2023-07-08 19:41:35,-7.246247,133.142303,21.6311,2022-09-08 16:17:51,2022-09-09 01:17:51,334,1650,0.399501,1,2529,0.586381,0.382626,0.849519,0.4,0.866492,0.75,0.0991004,0.0001,0.0154565,999999,-3.791779e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.836,94.3824,21.6908,98.2504,40.07,-110.888
12,VBD_npp_d20220908_t1617528_x1331302E_y072767S_l0339_s1650_v23,2023-07-08 19:41:35,-7.276659,133.130157,22.6344,2022-09-08 16:17:52,2022-09-09 01:17:52,339,1650,0.40007,1,2529,0.617266,0.381957,0.824507,0.4,0.877115,0.75,0.0991352,0.0001,0.0146421,999999,-3.759460e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.839,94.4765,21.6881,99.8925,40.0543,-110.855
13,VBD_npp_d20220908_t1617528_x1331179E_y073507S_l0350_s1650_v23,2023-07-08 19:41:35,-7.350748,133.117935,19.2109,2022-09-08 16:17:52,2022-09-09 01:17:52,350,1650,0.397083,1,2529,0.603843,0.295422,0.828143,0.4,0.863692,0.75,0.0992116,0.0001,0.0155817,999999,4.150992e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.845,94.7062,21.6907,98.2532,40.0161,-110.775
14,VBD_npp_d20220908_t1617528_x1331281E_y073316S_l0347_s1651_v23,2023-07-08 19:41:35,-7.331650,133.128098,34.2595,2022-09-08 16:17:52,2022-09-09 01:17:52,347,1651,0.400497,1,2529,0.801656,0.371025,0.847782,0.4,0.919103,0.75,0.0991798,0.0001,0.0152763,999999,-3.232121e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.836,94.6444,21.6357,98.6982,40.0326,-110.793
15,VBD_npp_d20220908_t1617528_x1331393E_y073058S_l0343_s1652_v23,2023-07-08 19:41:35,-7.305831,133.139328,32.6824,2022-09-08 16:17:52,2022-09-09 01:17:52,343,1652,0.394735,2,2465,0.420904,0.364846,0.839945,0.4,0.711644,0.75,0.099141,0.0001,0.0148896,999999,-2.934023e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.827,94.5618,21.5818,99.2951,40.0524,-110.819
16,VBD_npp_d20220908_t1617546_x1331187E_y073898S_l0356_s1652_v23,2023-07-08 19:41:35,-7.389842,133.118652,11.6719,2022-09-08 16:17:54,2022-09-09 01:17:54,356,1652,0.395802,1,2529,0.455612,0.301772,0.850239,0.4,0.819745,0.75,0.0992313,0.0001,0.0147528,999999,1.087322e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220908_t1617152_e1618394_b56300_c20220908173529278306_oebc_ops.h5,GDNBO_npp_d20220908_t1617152_e1618394_b56300_c20220908173352699278_oebc_ops.h5,SVI04_npp_d20220908_t1617152_e1618394_b56300_c20220908173532728002_oebc_ops.dspace_rad,VNFF_npp_d20220908_t1617152_e1618394_b56300_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-3.193966;-5.482277;-7.437836;-12.340149;-10.494385;-8.038733,122.502281;136.208038;149.913071;149.009140;135.077087;121.230568,npp_d20220908_t1615498_e1617139_b56300;npp_d20220908_t1617152_e1618394_b56300;npp_d20220908_t1618406_e1620048_b56300;npp_d20220908_t1620060_e1621302_b56300,161.833,94.8219,21.58,99.7547,40.0095,-110.728
