id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20220216_t1501579_x1402748E_y087284S_l0305_s0008_v23,2022-03-14 23:07:10,-8.728380,140.274826,40.5345,2022-02-16 15:01:57,2022-02-17 00:01:57,305,8,-999.3,2,2209,0.424894,0.403541,0.562852,0.4,0.733201,0.75,0.229139,0.0001,1.77372e-07,999999,-2.024296e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20220216_t1501238_e1502480_b53405_c20220216162335503704_oebc_ops.h5,GDNBO_npp_d20220216_t1501238_e1502480_b53405_c20220216162207193311_oebc_ops.h5,SVI04_npp_d20220216_t1501238_e1502480_b53405_c20220216162338904971_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1501238_e1502480_b53405_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-6.806060;-9.220844;-11.085178;-15.993327;-14.229798;-11.631853,140.752304;154.551666;168.416306;167.585312;153.404449;139.387589,npp_d20220216_t1458330_e1459572_b53405;npp_d20220216_t1459584_e1501226_b53405;npp_d20220216_t1501238_e1502480_b53405;npp_d20220216_t1502492_e1504134_b53405,158.954,173.844,70.1693,101.528,26.3841,-2.99717
1,VBD_npp_d20220216_t1639299_x1187097E_y046893N_l0743_s0081_v23,2022-03-14 23:41:58,4.689332,118.709724,36.9494,2022-02-16 16:39:29,2022-02-17 00:39:29,743,81,0.328655,1,2529,0.681008,0.358164,0.783722,0.4,0.894199,0.75,0.256734,0.0001,5.3527e-06,999999,-9.319999e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.988,146.473,68.9763,97.9224,12.8739,-15.0662
2,VBD_npp_d20220216_t1639299_x1187322E_y046931N_l0742_s0084_v23,2022-03-14 23:41:58,4.693070,118.732208,83.111,2022-02-16 16:39:29,2022-02-17 00:39:29,742,84,0.3246,1,2529,0.72092,0.321044,0.818559,0.4,0.762465,0.75,0.256723,0.0001,5.50862e-06,999999,6.846418e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.979,146.344,68.9266,97.953,12.8761,-15.165
3,VBD_npp_d20220216_t1639299_x1187475E_y046978N_l0741_s0086_v23,2022-03-14 23:41:58,4.697807,118.747482,117.132,2022-02-16 16:39:29,2022-02-17 00:39:29,741,86,0.331429,1,2529,0.929415,0.3405,0.818559,0.4,0.919421,0.75,0.256715,0.0001,5.62155e-06,999999,1.038360e-03,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.974,146.249,68.8934,97.983,12.8756,-15.2347
4,VBD_npp_d20220216_t1639299_x1187527E_y046833N_l0743_s0087_v23,2022-03-14 23:41:58,4.683316,118.752663,78.6766,2022-02-16 16:39:29,2022-02-17 00:39:29,743,87,0.328655,8,18913,0.803861,0.288718,0.793518,0.4,0.903319,0.75,0.256712,0.0001,5.62656e-06,999999,2.239246e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.550859,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.959,146.273,68.8771,97.9259,12.8911,-15.2394
5,VBD_npp_d20220216_t1639299_x1187627E_y047025N_l0740_s0088_v23,2022-03-14 23:41:58,4.702538,118.762726,87.5306,2022-02-16 16:39:29,2022-02-17 00:39:29,740,88,0.329579,1,2529,0.82382,0.348974,0.807523,0.4,0.917096,0.75,0.256708,0.0001,5.73638e-06,999999,-3.543722e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.97,146.154,68.8604,98.0131,12.875,-15.3041
6,VBD_npp_d20220216_t1639299_x1187679E_y046881N_l0742_s0089_v23,2022-03-14 23:41:58,4.688058,118.767891,162.983,2022-02-16 16:39:29,2022-02-17 00:39:29,742,89,0.316918,1,2529,0.742092,0.319232,0.807523,0.4,0.910157,0.75,0.256704,0.0001,5.74149e-06,999999,9.258288e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.955,146.178,68.8441,97.9559,12.8906,-15.3088
7,VBD_npp_d20220216_t1639299_x1187831E_y046928N_l0741_s0091_v23,2022-03-14 23:41:58,4.692795,118.783066,166.73,2022-02-16 16:39:29,2022-02-17 00:39:29,741,91,0.325667,1,2529,0.826201,0.331789,0.772393,0.4,0.904999,0.75,0.256697,0.0001,5.85831e-06,999999,3.853370e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.95,146.084,68.8111,97.986,12.89,-15.3779
8,VBD_npp_d20220216_t1639299_x1187811E_y046793N_l0743_s0091_v23,2022-03-14 23:41:58,4.679332,118.781105,39.5546,2022-02-16 16:39:29,2022-02-17 00:39:29,743,91,0.328655,1,2529,0.504558,0.32373,0.751743,0.4,0.760023,0.75,0.256697,0.0001,5.81529e-06,999999,7.321889e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.94,146.141,68.8112,97.9282,12.9026,-15.3539
9,VBD_npp_d20220216_t1639299_x1187921E_y047053N_l0739_s0092_v23,2022-03-14 23:41:58,4.705255,118.792099,65.1876,2022-02-16 16:39:29,2022-02-17 00:39:29,739,92,0.302905,1,2529,0.579582,0.328931,0.772393,0.4,0.759077,0.75,0.256693,0.0001,5.95004e-06,999999,5.083386e-02,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.955,145.994,68.7945,98.0443,12.8802,-15.4305
10,VBD_npp_d20220216_t1639086_x1206103E_y056696N_l0554_s0320_v23,2022-03-14 23:41:58,5.669575,120.610321,263.13,2022-02-16 16:39:08,2022-02-17 00:39:08,554,320,0.34217,1,2529,1.4179,0.315514,0.869028,0.4,0.978163,0.75,0.256678,0.0001,3.83773e-05,999999,1.085833e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.588,134.189,64.8762,97.7165,12.5505,-24.0677
11,VBD_npp_d20220216_t1639068_x1206373E_y057707N_l0538_s0321_v23,2022-03-14 23:41:58,5.770737,120.637344,73.8463,2022-02-16 16:39:06,2022-02-17 00:39:06,538,321,0.346722,1,2529,1.01557,0.348032,0.848997,0.4,0.943399,0.75,0.256785,0.0001,3.89995e-05,999999,-4.907556e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.644,133.669,64.8611,97.6934,12.4651,-24.3381
12,VBD_npp_d20220216_t1639086_x1206181E_y056752N_l0553_s0321_v23,2022-03-14 23:41:58,5.675207,120.618134,80.8972,2022-02-16 16:39:08,2022-02-17 00:39:08,553,321,0.340889,1,2529,0.711362,0.313372,0.869028,0.4,0.837733,0.75,0.25668,0.0001,3.87824e-05,999999,1.178066e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.586,134.133,64.8576,97.7493,12.5485,-24.1098
13,VBD_npp_d20220216_t1639068_x1206422E_y057557N_l0540_s0322_v23,2022-03-14 23:41:58,5.755745,120.642189,169.326,2022-02-16 16:39:06,2022-02-17 00:39:06,540,322,0.343734,1,2529,1.17829,0.351009,0.853423,0.4,0.953669,0.75,0.256766,0.0001,3.90269e-05,999999,-6.203878e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.63,133.715,64.8429,97.6252,12.481,-24.3295
14,VBD_npp_d20220216_t1639086_x1206329E_y056803N_l0552_s0323_v23,2022-03-14 23:41:58,5.680349,120.632858,301.076,2022-02-16 16:39:08,2022-02-17 00:39:08,552,323,0.346793,1,2529,1.26929,0.336136,0.879107,0.4,0.957132,0.75,0.256677,0.0001,3.94883e-05,999999,1.981950e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.579,134.051,64.8203,97.7851,12.5499,-24.1791
15,VBD_npp_d20220216_t1639068_x1206655E_y057240N_l0544_s0326_v23,2022-03-14 23:41:58,5.723976,120.665520,514.772,2022-02-16 16:39:06,2022-02-17 00:39:06,544,326,0.349425,1,2529,1.01736,0.304561,0.853964,0.4,0.962316,0.75,0.256718,0.0001,3.96532e-05,999999,1.402478e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.592,133.759,64.7696,97.49,12.5201,-24.3641
16,VBD_npp_d20220216_t1639086_x1206662E_y057187N_l0546_s0327_v23,2022-03-14 23:41:58,5.718663,120.666191,526.297,2022-02-16 16:39:08,2022-02-17 00:39:08,546,327,0.342739,1,2529,1.21276,0.306738,0.844112,0.4,0.949909,0.75,0.256699,0.0001,4.14728e-05,999999,1.463620e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.582,133.749,64.7458,97.9945,12.5282,-24.3861
17,VBD_npp_d20220216_t1639068_x1206802E_y057292N_l0543_s0328_v23,2022-03-14 23:41:58,5.729160,120.680183,532.751,2022-02-16 16:39:06,2022-02-17 00:39:06,543,328,0.34786,8,18913,1.42385,0.316115,0.844112,0.4,0.93319,0.75,0.256715,0.0001,4.03723e-05,999999,1.059981e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.989381,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.585,133.677,64.7324,97.5258,12.5215,-24.4333
18,VBD_npp_d20220216_t1639086_x1206670E_y056756N_l0552_s0328_v23,2022-03-14 23:41:58,5.675646,120.667023,343.998,2022-02-16 16:39:08,2022-02-17 00:39:08,552,328,0.343236,1,2529,1.54353,0.372919,0.872927,0.4,0.980004,0.75,0.256652,0.0001,4.09595e-05,999999,-1.385069e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20220216_t1638078_e1639320_b53406_c20220216180054559549_oebc_ops.h5,GDNBO_npp_d20220216_t1638078_e1639320_b53406_c20220216175918172505_oebc_ops.h5,SVI04_npp_d20220216_t1638078_e1639320_b53406_c20220216180058474770_oebc_ops.dspace_rad,VNFF_npp_d20220216_t1638078_e1639320_b53406_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,9.494787;7.582142;5.258194;0.390142;2.566376;4.601583,119.113281;132.952454;146.561996;145.392151;131.831421;118.126144,npp_d20220216_t1635170_e1636412_b53406;npp_d20220216_t1636424_e1638066_b53406;npp_d20220216_t1638078_e1639320_b53406;npp_d20220216_t1639332_e1640556_b53406,170.552,133.933,64.7277,97.7884,12.5684,-24.3084
