id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20231226_t1628126_x1220077E_y004631N_l0767_s0235_v23,2024-02-16 03:15:06,0.463135,122.007713,32.6649,2023-12-26 16:28:12,2023-12-27 00:28:12,767,235,0.352199,2,2465,0.561596,0.474884,0.750765,0.4,0.717832,0.75,0.207098,0.0001,1.5803e-05,999999,999999,1,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20231226_t1626487_e1628129_b63025_c20231226175057650000_oeac_ops.h5,GDNBO_npp_d20231226_t1626487_e1628129_b63025_c20231226174859576000_oeac_ops.h5,SVI04_npp_d20231226_t1626487_e1628129_b63025_c20231226175104816000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1626487_e1628129_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,5.588340;3.571630;1.371645;-3.508613;-1.443926;0.704853,121.470970;135.192856;148.758392;147.676971;134.077484;120.419899,npp_d20231226_t1622325_e1623567_b63025;npp_d20231226_t1623579_e1625221_b63025;npp_d20231226_t1625233_e1626475_b63025;npp_d20231226_t1626487_e1628129_b63025,155.519,159.881,66.4259,98.6106,30.8907,-23.5124
1,VBD_npp_d20231226_t1628535_x1214476E_y018826S_l0367_s0234_v23,2024-02-16 03:15:38,-1.882622,121.447647,15.3182,2023-12-26 16:28:53,2023-12-27 00:28:53,367,234,0.347504,2,2465,0.416671,0.283659,0.558919,0.4,0.661373,0.75,0.200028,0.0001,8.00936e-06,999999,2.119294e-04,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,153.426,162.252,66.4544,99.1313,32.9355,-21.4401
2,VBD_npp_d20231226_t1629327_x1214715E_y041322S_l0706_s0315_v23,2024-02-16 03:15:38,-4.132242,121.471489,19.1127,2023-12-26 16:29:32,2023-12-27 00:29:32,706,315,0.222029,2,2209,0.274929,0.238624,0.576991,0.4,0.6056,0.75,0.194087,0.0001,8.57409e-06,999999,2.330321e-01,3,Indonesian Exclusive Economic Zone,WPP713,Kepulauan Padamarang Marine Nature Recreational Park,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,151.223,163.176,64.9946,100.026,35.1307,-20.4888
3,VBD_npp_d20231226_t1629327_x1214989E_y041371S_l0706_s0319_v23,2024-02-16 03:15:38,-4.137108,121.498917,21.8311,2023-12-26 16:29:32,2023-12-27 00:29:32,706,319,0.223879,2,2209,0.315034,0.238891,0.556123,0.4,0.672683,0.75,0.194043,0.0001,8.84423e-06,999999,2.316484e-01,3,Indonesian Exclusive Economic Zone,WPP713,Kepulauan Padamarang Marine Nature Recreational Park,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,151.21,163.129,64.9202,100.024,35.145,-20.5255
4,VBD_npp_d20231226_t1628429_x1224843E_y013949S_l0268_s0363_v23,2024-02-16 03:15:38,-1.394915,122.484268,36.0566,2023-12-26 16:28:42,2023-12-27 00:28:42,268,363,0.351488,2,2465,0.50517,0.1375,0.791351,0.4,0.624596,0.75,0.20019,0.0001,2.55282e-05,999999,9.147303e-01,1,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,153.567,160.025,64.075,99.0605,32.8608,-23.2095
5,VBD_npp_d20231226_t1629078_x1221636E_y028094S_l0489_s0366_v23,2024-02-16 03:15:38,-2.809386,122.163589,63.1247,2023-12-26 16:29:07,2023-12-27 00:29:07,489,366,0.283842,2,2209,0.301868,0.270992,0.491076,0.4,0.415204,0.75,0.196723,0.0001,1.80271e-05,999999,6.569696e-02,1,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,152.304,161.348,64.0269,99.4644,34.0984,-22.0482
6,VBD_npp_d20231226_t1629095_x1221910E_y028638S_l0497_s0372_v23,2024-02-16 03:15:38,-2.863833,122.191032,56.56,2023-12-26 16:29:09,2023-12-27 00:29:09,497,372,0.255532,7,2209,0.333686,0.284793,0.460412,0.4,0.634015,0.75,0.19653,0.0001,1.99001e-05,999999,-5.651179e-03,3,,,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,152.241,161.317,63.9064,99.7614,34.1627,-22.0673
7,VBD_npp_d20231226_t1628304_x1274240E_y014509S_l0157_s1070_v23,2024-02-16 03:15:38,-1.450851,127.423981,4.97162,2023-12-26 16:28:30,2023-12-27 01:28:30,157,1070,0.407681,2,2209,0.235334,0.148914,0.76934,0.4,0.68504,0.75,0.193417,0.0001,0.00213077,999999,6.968142e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,151.498,151.367,46.2113,98.6588,35.1326,-29.9144
8,VBD_npp_d20231226_t1628322_x1274035E_y015342S_l0170_s1070_v23,2024-02-16 03:15:38,-1.534198,127.403519,89.1267,2023-12-26 16:28:32,2023-12-27 01:28:32,170,1070,0.385773,1,2529,0.97505,0.323159,0.753607,0.4,0.931315,0.75,0.193225,0.0001,0.00214963,999999,-2.039984e-01,1,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,151.431,151.462,46.2108,98.8519,35.1991,-29.8371
9,VBD_npp_d20231226_t1628322_x1288764E_y017766S_l0171_s1292_v23,2024-02-16 03:15:38,-1.776607,128.876373,12.8896,2023-12-26 16:28:32,2023-12-27 01:28:32,171,1292,0.353053,2,2465,0.394905,0.397975,0.641052,0.4,0.738278,0.75,0.190267,0.0001,0.00516601,999999,-5.907785e-01,3,Indonesian Exclusive Economic Zone,WPP715,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,150.493,149.329,38.1663,98.694,36.1718,-31.5036
10,VBD_npp_d20231226_t1629380_x1339845E_y066047S_l0765_s2186_v23,2024-02-16 03:15:38,-6.604658,133.984451,13.271,2023-12-26 16:29:38,2023-12-27 01:29:38,765,2186,0.37681,2,2465,0.395807,0.29993,0.725298,0.4,0.629396,0.75,0.168629,0.0001,0.000250682,999999,-1.204511e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.539,145.922,8.82262,-79.3392,43.2235,-34.2197
11,VBD_npp_d20231226_t1629380_x1339813E_y066248S_l0768_s2186_v23,2024-02-16 03:15:38,-6.624786,133.981323,9.87263,2023-12-26 16:29:38,2023-12-27 01:29:38,768,2186,0.396016,2,2209,0.330754,0.265303,0.738846,0.4,0.705835,0.75,0.168629,0.0001,0.000243716,999999,6.278201e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.525,145.941,8.82989,-78.2061,43.2386,-34.2042
12,VBD_npp_d20231226_t1629380_x1339970E_y066135S_l0766_s2188_v23,2024-02-16 03:15:38,-6.613484,133.996994,11.4387,2023-12-26 16:29:38,2023-12-27 01:29:38,766,2188,0.350634,2,2465,0.371835,0.266283,0.721655,0.4,0.709972,0.75,0.168596,0.0001,0.000242438,999999,5.759813e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.525,145.913,8.94071,-78.9933,43.238,-34.2269
13,VBD_npp_d20231226_t1629273_x1350366E_y061042S_l0667_s2321_v23,2024-02-16 03:15:38,-6.104208,135.036575,19.9264,2023-12-26 16:29:27,2023-12-27 01:29:27,667,2321,0.347931,1,2529,0.550964,0.256441,0.703363,0.4,0.831452,0.75,0.166497,0.0001,4.52609e-05,999999,1.096758e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.377,144.315,16.438,-80.7641,43.3887,-35.5351
14,VBD_npp_d20231226_t1629167_x1352718E_y054782S_l0569_s2335_v23,2024-02-16 03:15:38,-5.478156,135.271835,14.9412,2023-12-26 16:29:16,2023-12-27 01:29:16,569,2335,0.353906,1,2529,0.468013,0.300282,0.778694,0.4,0.794591,0.75,0.168227,0.0001,4.15126e-05,999999,-1.223124e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.772,143.589,17.2051,-81.1662,42.9885,-36.1229
15,VBD_npp_d20231226_t1629167_x1352901E_y054948S_l0571_s2338_v23,2024-02-16 03:15:38,-5.494794,135.290131,11.6229,2023-12-26 16:29:16,2023-12-27 01:29:16,571,2338,0.349283,2,2209,0.302255,0.288353,0.75991,0.4,0.678118,0.75,0.168145,0.0001,3.88806e-05,999999,-5.919071e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.747,143.58,17.3707,-80.7915,43.0129,-36.13
16,VBD_npp_d20231226_t1629167_x1353048E_y054901S_l0570_s2340_v23,2024-02-16 03:15:38,-5.490134,135.304764,19.1513,2023-12-26 16:29:16,2023-12-27 01:29:16,570,2340,0.35035,1,2529,0.492611,0.279543,0.797559,0.4,0.811135,0.75,0.168127,0.0001,3.80259e-05,999999,-1.256946e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.742,143.559,17.4803,-80.9848,43.0178,-36.1474
17,VBD_npp_d20231226_t1629167_x1353215E_y054720S_l0567_s2342_v23,2024-02-16 03:15:38,-5.471950,135.321487,12.8303,2023-12-26 16:29:16,2023-12-27 01:29:16,567,2342,0.328868,2,2209,0.335441,0.293833,0.797559,0.4,0.70161,0.75,0.168139,0.0001,3.78771e-05,999999,-8.818905e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.747,143.525,17.5902,-81.5501,43.0129,-36.1754
18,VBD_npp_d20231226_t1629167_x1353262E_y054865S_l0569_s2343_v23,2024-02-16 03:15:38,-5.486517,135.326233,23.6473,2023-12-26 16:29:16,2023-12-27 01:29:16,569,2343,0.344517,1,2529,0.547653,0.26984,0.792861,0.4,0.800277,0.75,0.168091,0.0001,3.65987e-05,999999,3.877477e-02,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20231226_t1628141_e1629383_b63025_c20231226175105845000_oeac_ops.h5,GDNBO_npp_d20231226_t1628141_e1629383_b63025_c20231226174859804000_oeac_ops.h5,SVI04_npp_d20231226_t1628141_e1629383_b63025_c20231226175113070000_oeac_ops.dspace_rad,VNFF_npp_d20231226_t1628141_e1629383_b63025_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.707754;-1.449297;-3.506813;-8.399812;-6.463445;-4.152716,120.411621;134.069565;147.671204;146.689041;132.951538;119.224586,npp_d20231226_t1628141_e1629383_b63025;npp_d20231226_t1629395_e1631037_b63025;npp_d20231226_t1631049_e1632291_b63025;npp_d20231226_t1632303_e1633545_b63025,143.733,143.531,17.6451,-81.1772,43.0276,-36.1707
