id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20230929_t1538006_x1388804E_y006872S_l0066_s0866_v23,2023-11-12 19:28:28,-0.687205,138.880402,12.5731,2023-09-29 15:38:00,2023-09-30 00:38:00,66,866,0.336123,2,2465,0.358648,0.378034,0.685569,0.4,0.568132,0.75,0.278263,0.0001,0.00344435,999999,-5.843794e-01,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20230929_t1537532_e1539173_b61776_c20230929170258567000_oeac_ops.h5,GDNBO_npp_d20230929_t1537532_e1539173_b61776_c20230929170059805000_oeac_ops.h5,SVI04_npp_d20230929_t1537532_e1539173_b61776_c20230929170305771000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1537532_e1539173_b61776_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.663612;-1.495411;-3.547659;-8.442875;-6.509982;-4.199209,133.073547;146.754257;160.349182;159.373856;145.637131;131.900299,npp_d20230929_t1535024_e1536265_b61776;npp_d20230929_t1536278_e1537519_b61776;npp_d20230929_t1537532_e1539173_b61776;npp_d20230929_t1539186_e1540427_b61776,163.895,101.383,52.4008,99.2128,12.8561,-75.419
1,VBD_npp_d20230929_t1541341_x1302324E_y120379S_l0463_s0069_v23,2023-11-12 19:37:43,-12.037905,130.232361,16.924,2023-09-29 15:41:34,2023-09-30 00:41:34,463,69,0.308311,2,2465,0.316098,0.234104,0.536648,0.4,0.685424,0.75,0.273715,0.0001,9.35679e-06,999999,7.837951e-03,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20230929_t1540440_e1542082_b61776_c20230929170159964000_oeac_ops.h5,GDNBO_npp_d20230929_t1540440_e1542082_b61776_c20230929165954130000_oeac_ops.h5,SVI04_npp_d20230929_t1540440_e1542082_b61776_c20230929170208071000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1540440_e1542082_b61776_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-9.032259;-11.531052;-13.341468;-18.251482;-16.537361;-13.843801,130.597687;144.488907;158.481461;157.688400;143.327499;129.166595,npp_d20230929_t1540440_e1542082_b61776;npp_d20230929_t1542094_e1543336_b61776;npp_d20230929_t1543348_e1544590_b61776;npp_d20230929_t1545002_e1546226_b61776,163.432,150.671,69.2562,101.942,15.4623,-17.1683
2,VBD_npp_d20230929_t1541394_x1309106E_y125094S_l0512_s0179_v23,2023-11-12 19:37:43,-12.509445,130.910583,28.7309,2023-09-29 15:41:39,2023-09-30 01:11:39,512,179,0.260298,2,2465,0.366885,0.197049,0.590427,0.4,0.646193,0.75,0.272534,0.0001,2.0213e-05,999999,2.387484e-01,1,Australian Exclusive Economic Zone,,,SVDNB_npp_d20230929_t1540440_e1542082_b61776_c20230929170159964000_oeac_ops.h5,GDNBO_npp_d20230929_t1540440_e1542082_b61776_c20230929165954130000_oeac_ops.h5,SVI04_npp_d20230929_t1540440_e1542082_b61776_c20230929170208071000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1540440_e1542082_b61776_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-9.032259;-11.531052;-13.341468;-18.251482;-16.537361;-13.843801,130.597687;144.488907;158.481461;157.688400;143.327499;129.166595,npp_d20230929_t1540440_e1542082_b61776;npp_d20230929_t1542094_e1543336_b61776;npp_d20230929_t1543348_e1544590_b61776;npp_d20230929_t1545002_e1546226_b61776,162.682,149.349,67.4562,101.82,16.1352,-19.1273
3,VBD_npp_d20230929_t1541145_x1320795E_y112164S_l0283_s0287_v23,2023-11-12 19:37:43,-11.216384,132.079514,15.9084,2023-09-29 15:41:14,2023-09-30 01:11:14,283,287,0.335768,2,2209,0.206251,0.1375,0.571278,0.4,0.564308,0.75,0.274179,0.0001,5.39051e-05,999999,7.743365e-01,3,,,,SVDNB_npp_d20230929_t1540440_e1542082_b61776_c20230929170159964000_oeac_ops.h5,GDNBO_npp_d20230929_t1540440_e1542082_b61776_c20230929165954130000_oeac_ops.h5,SVI04_npp_d20230929_t1540440_e1542082_b61776_c20230929170208071000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1540440_e1542082_b61776_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-9.032259;-11.531052;-13.341468;-18.251482;-16.537361;-13.843801,130.597687;144.488907;158.481461;157.688400;143.327499;129.166595,npp_d20230929_t1540440_e1542082_b61776;npp_d20230929_t1542094_e1543336_b61776;npp_d20230929_t1543348_e1544590_b61776;npp_d20230929_t1545002_e1546226_b61776,163.19,143.976,65.5602,101.433,15.308,-24.6061
14,VBD_npp_d20230929_t1717211_x1161460E_y066400N_l0715_s1015_v23,2023-11-12 20:16:01,6.639996,116.146011,201.717,2023-09-29 17:17:21,2023-09-30 01:17:21,715,1015,0.0767087,4,100773,0.673807,0.333291,0.523934,0.4,0.718569,0.75,0.263419,0.0001,0.00584374,999999,1.196520e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,161.686,77.7775,48.0076,97.8521,14.1844,-104.631
15,VBD_npp_d20230929_t1716562_x1173318E_y079807N_l0490_s1145_v23,2023-11-12 20:16:01,7.980709,117.331818,140.083,2023-09-29 17:16:56,2023-09-30 01:16:56,490,1145,0.270754,1,2529,1.06622,0.362459,0.787085,0.4,0.910674,0.75,0.261157,0.0001,0.0100807,999999,1.769865e-03,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.326,74.8673,43.6739,97.8627,15.6225,-108.255
16,VBD_npp_d20230929_t1716562_x1173874E_y079729N_l0490_s1153_v23,2023-11-12 20:16:01,7.972881,117.387398,100.823,2023-09-29 17:16:56,2023-09-30 01:16:56,490,1153,0.257097,1,2529,0.888767,0.374996,0.764524,0.4,0.888992,0.75,0.261076,0.0001,0.0104443,999999,-4.890250e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.274,74.9362,43.3822,97.8695,15.6732,-108.158
22,VBD_npp_d20230929_t1716562_x1176642E_y079749N_l0484_s1193_v23,2023-11-12 20:16:01,7.974854,117.664230,112.763,2023-09-29 17:16:56,2023-09-30 01:16:56,484,1193,0.347789,1,2529,1.14639,0.343915,0.869256,0.4,0.943341,0.75,0.260634,0.0001,0.0122243,999999,7.671265e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.009,75.1651,41.9301,98.3094,15.9391,-107.821
23,VBD_npp_d20230929_t1716562_x1176831E_y079653N_l0485_s1196_v23,2023-11-12 20:16:01,7.965288,117.683090,185.827,2023-09-29 17:16:56,2023-09-30 01:16:56,485,1196,0.382287,1,2529,1.30004,0.375764,0.874663,0.4,0.966252,0.75,0.260608,0.0001,0.0123946,999999,-5.200331e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,159.993,75.2063,41.8218,98.2445,15.9542,-107.766
24,VBD_npp_d20230929_t1716580_x1176560E_y078273N_l0506_s1196_v23,2023-11-12 20:16:01,7.827345,117.656006,225.264,2023-09-29 17:16:58,2023-09-30 01:16:58,506,1196,0.358743,1,2529,1.3853,0.357751,0.869644,0.4,0.952442,0.75,0.260723,0.0001,0.0125503,999999,2.079681e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.047,75.5572,41.822,97.9109,15.8927,-107.32
25,VBD_npp_d20230929_t1716580_x1176807E_y078580N_l0501_s1199_v23,2023-11-12 20:16:01,7.857979,117.680687,270.364,2023-09-29 17:16:58,2023-09-30 01:16:58,501,1199,0.37994,1,2529,1.38539,0.364569,0.860811,0.4,0.967201,0.75,0.260664,0.0001,0.0125904,999999,-6.759251e-03,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.016,75.4958,41.713,98.2542,15.9258,-107.395
26,VBD_npp_d20230929_t1717087_x1176037E_y072513N_l0593_s1207_v23,2023-11-12 20:16:01,7.251270,117.603676,29.5484,2023-09-29 17:17:08,2023-09-30 01:17:08,593,1207,0.381932,1,2529,0.614565,0.396262,0.817055,0.4,0.832242,0.75,0.261079,0.0001,0.0131797,999999,-1.348472e-01,3,Philippines Exclusive Economic Zone,,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.191,77.0991,41.4224,98.586,15.7186,-105.338
27,VBD_npp_d20230929_t1717087_x1176288E_y072351N_l0595_s1211_v23,2023-11-12 20:16:01,7.235114,117.628769,58.2667,2023-09-29 17:17:08,2023-09-30 01:17:08,595,1211,0.37994,1,2529,0.895571,0.350709,0.815426,0.4,0.911642,0.75,0.261047,0.0001,0.0134322,999999,4.925610e-02,3,Philippines Exclusive Economic Zone,,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,160.17,77.1614,41.2733,98.4645,15.7387,-105.255
29,VBD_npp_d20230929_t1717015_x1180056E_y075622N_l0538_s1255_v23,2023-11-12 20:16:01,7.562191,118.005630,92.3866,2023-09-29 17:17:01,2023-09-30 01:17:01,538,1255,0.353124,1,2529,1.04199,0.316031,0.841241,0.4,0.923855,0.75,0.260275,0.0001,0.0158878,999999,1.894088e-01,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,159.76,76.5474,39.6116,97.9674,16.1668,-106.003
30,VBD_npp_d20230929_t1717015_x1180242E_y075527N_l0539_s1258_v23,2023-11-12 20:16:01,7.552678,118.024231,43.1981,2023-09-29 17:17:01,2023-09-30 01:17:01,539,1258,0.355684,1,2529,0.668526,0.374554,0.847534,0.4,0.817689,0.75,0.260249,0.0001,0.0160885,999999,-4.711380e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,159.745,76.5865,39.4991,97.8959,16.1822,-105.951
31,VBD_npp_d20230929_t1717015_x1180223E_y075393N_l0541_s1258_v23,2023-11-12 20:16:01,7.539267,118.022255,112.085,2023-09-29 17:17:01,2023-09-30 01:17:01,541,1258,0.379015,8,18913,1.03379,0.401985,0.847534,0.4,0.935056,0.75,0.26026,0.0001,0.0161412,999999,-1.579788e-01,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.251342,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,159.75,76.6204,39.4998,97.7488,16.1766,-105.907
32,VBD_npp_d20230929_t1717015_x1180493E_y075423N_l0540_s1262_v23,2023-11-12 20:16:01,7.542261,118.049286,43.9721,2023-09-29 17:17:01,2023-09-30 01:17:01,540,1262,0.392388,1,2529,0.748084,0.366158,0.843683,0.4,0.88446,0.75,0.260212,0.0001,0.0163488,999999,-1.318309e-02,3,Philippines Exclusive Economic Zone,Region IV-B,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,159.723,76.6328,39.349,97.8247,16.2036,-105.888
46,VBD_npp_d20230929_t1717247_x1208748E_y057056N_l0750_s1726_v23,2023-11-12 20:16:01,5.705647,120.874802,16.2436,2023-09-29 17:17:24,2023-09-30 01:17:24,750,1726,0.402489,2,2209,0.190111,0.176154,0.517307,0.4,0.467495,0.75,0.255425,0.0001,0.0415084,999999,7.597047e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,157.19,82.8602,17.6044,97.3957,18.7128,-97.7888
47,VBD_npp_d20230929_t1717247_x1209306E_y057523N_l0742_s1733_v23,2023-11-12 20:16:01,5.752322,120.930618,26.2408,2023-09-29 17:17:24,2023-09-30 01:17:24,742,1733,0.38684,2,2209,0.305934,0.225919,0.552055,0.4,0.576091,0.75,0.255334,0.0001,0.0409629,999999,5.599798e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20230929_t1716026_e1717267_b61777_c20230929184020589000_oeac_ops.h5,GDNBO_npp_d20230929_t1716026_e1717267_b61777_c20230929183806073000_oeac_ops.h5,SVI04_npp_d20230929_t1716026_e1717267_b61777_c20230929184028058000_oeac_ops.dspace_rad,VNFF_npp_d20230929_t1716026_e1717267_b61777_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,12.131203;10.285730;7.874866;3.016350;5.270531;7.231310,110.059006;124.027245;137.699051;136.470215;122.899826;109.125900,npp_d20230929_t1711463_e1713105_b61777;npp_d20230929_t1713117_e1714359_b61777;npp_d20230929_t1714371_e1716013_b61777;npp_d20230929_t1716026_e1717267_b61777,157.129,82.7724,17.2151,98.9029,18.7753,-97.8993
